Name,Docs,Tag,Crit,Status,Error,ElapsedTime,Failure
Build 1 . 0 . 0 . 274 . ECB-1095 View Devices in Design Workspace Suite . C5098: Tool Window- Project Explorer,Tool Window - Project Explorer Aim: To validate Library panel operations Author: Aniruddha Sankoli,C5098,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'PART_ColumnHeadersPresenter', ControlType: HeaderControl}",644.1,0
Build 1 . 0 . 0 . 274 . ECB-1383 Implement Interim Single User Mode Suite . C9385: Implement Interim Single User Mode,Name: Implement Interim Single User Mode Aim: To implement interim Author: Aniruddha Sankoli,C9385,yes,FAIL,"LookupError: Find Control Timeout: {ClassName: 'Window', Name: 'SpaceLogic C-Bus Commission', Desc: '', ControlType: WindowControl}",29.3,0
Build 1 . 0 . 0 . 274 . ECB-1384 Readdress Live Device in Reconciliation View Suite . C10939: [Deployment] Re-address Live Device in Reconciliation View,Deployment- Re-address Live Device in Reconciliation View Aim: To validate re-address Live Device in Reconciliation View Author: Aniruddha Sankoli,C10939,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,283.7,1
Build 1 . 0 . 0 . 274 . ECB-31 New Project Suite . C1577: Create a new project when no project is open,Create a new project when no project is open Aim: To validate creation of project when no project is open Author: Aniruddha Sankoli,C1577,yes,FAIL,"LookupError: Find Control Timeout: {ClassName: 'Window', Name: 'SpaceLogic C-Bus Commission', Desc: '', ControlType: WindowControl}",30.0,0
Build 1 . 0 . 0 . 274 . ECB-32 Delete A Project Suite . C2993: Delete Project,Delete a Project as Admin Aim: To validate deleting a project as Admin Author: Aniruddha Sankoli,C2993,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'PART_YesButton', ControlType: ButtonControl}",63.2,1
Build 1 . 0 . 0 . 274 . ECB-34 Edit A Project suite . C1596: Edit a project,Edit a project Aim: To validate editing of project Author: Aniruddha Sankoli,C1596,yes,FAIL,Error raised since Project Description is read only and thus not editable,127.9,1
Build 1 . 0 . 0 . 274 . ECB-410 Open Project Filter Suite . C2055: Open Project Search field by opening project by hamburger menu,Name: Open Project Search field by opening project by hamburger menu Aim: To validate searching porject in Hamburger Menu Author: Aniruddha Sankoli,C2055,yes,FAIL,IndexError: list index out of range,176.6,0
Build 1 . 0 . 0 . 274 . ECB-410 Open Project Filter Suite . C6156: Open Project Search field by opening project by main screen menu,Name: Open Project Search field by opening project by main screen menu Aim: To validate searching porject in Main Screen Menu Author: Aniruddha Sankoli,C6156,yes,FAIL,IndexError: list index out of range,226.9,0
Build 1 . 0 . 0 . 274 . ECB-459 View DALI Devices on DALI Line Suite . C3020: View DALI Devices on a DALI Line as Admin,View C-Bus DALI Device on a DALI line as Admin Aim: To validate viewing C-Bus DALI Device on a DALI line as Admin Author: Aniruddha Sankoli,C3020,yes,FAIL,Error raised since DaliLine 'C-Bus DALI-2 Gateway #2 Line A' not found in Network 'Aerosmith',1082.7,0
Build 1 . 0 . 0 . 274 . ECB-460 Add and Delete DALI Devices on DALI Line . C2977: Add DALI Devices on a DALI Line as Admin,Add C-Bus DALI Device on a DALI line as Admin Aim: To validate adding C-Bus DALI Device on a DALI line as Admin Author: Aniruddha Sankoli,AddDALIDevice_Admin,yes,FAIL,Error raised since network selection was not verified,376.0,1
